"Your new shipment was successfully communicated to DPD.", "Your new shipment was successfully communicated to DPD."
"DPD says, ""%s""", "DPD says, ""%s"""
"An error occurred communicating the shipment to DPD. The shipping method '%s' is invalid", "An error occurred communicating the shipment to DPD. The shipping method '%s' is invalid"
"The shipment could not be communicated to DPD because the shipping street the maximum permitted length of %s characters. <br />Please edit the shipping address to reduce the length of the street in the shipping address.", "The shipment could not be communicated to DPD because the shipping street the maximum permitted length of %s characters. <br />Please edit the shipping address to reduce the length of the street in the shipping address."
"An error occurred communicating the shipment to DPD:<br /> ""%s""", "An error occurred communicating the shipment to DPD:<br /> ""%s"""
"DPD could not process the new shipment. The following error was returned: <br /> ""%s: %s""", "DPD could not process the new shipment. The following error was returned: <br /> ""%s: %s"""
"Successfully closed manifest %s for the following shipments. <a href='%s'>Download the manifest</a>.", "Successfully closed manifest %s for the following shipments. <a href='%s'>Download the manifest</a>."
"An error occurred whilst closing the manifest: %s", "An error occurred whilst closing the manifest: %s"
"A problem occurred whilst attempting to download a manifest. No manifest was specified in the request.", "A problem occurred whilst attempting to download a manifest. No manifest was specified in the request."
"A problem occurred whilst attempting to download the manifest id %s: %s", "A problem occurred whilst attempting to download the manifest id %s: %s"
"A problem occurred whilst attempting to download the manifest %s. The manifest no longer exists.", "A problem occurred whilst attempting to download the manifest %s. The manifest no longer exists."
"An unexpected problem occurred whilst attempting to download the manifest %s. %s", "An unexpected problem occurred whilst attempting to download the manifest %s. %s"
"Please select the shipments for which you wish to arrange a pickup.", "Please select the shipments for which you wish to arrange a pickup."
"Please enter a pickup date in the format DD/MM/YYYY.", "Please enter a pickup date in the format DD/MM/YYYY."
"Please select a from and to time for the pickup.", "Please select a from and to time for the pickup."
"You cannot create a pickup because you have not fully specified your pickup address. <br />Please set your pickup address in System->Configuration->Sales->Shipping Settings->DPD GeoPost Pickup Address.", "You cannot create a pickup because you have not fully specified your pickup address. <br />Please set your pickup address in System->Configuration->Sales->Shipping Settings->DPD GeoPost Pickup Address."
"Unable to load shipment information for this shipment %s.", "Unable to load shipment information for this shipment %s."
"Your list did not contain any DPD shipments for which to arrange a pickup.", "Your list did not contain any DPD shipments for which to arrange a pickup."
"A problem occurred whilst communicating your shipment to DPD. <br />""%s""", "A problem occurred whilst communicating your shipment to DPD. <br />""%s"""
"DPD reported an error whilst attempting to arrange your pickup. <br />DPD says, ""%s""", "DPD reported an error whilst attempting to arrange your pickup. <br />DPD says, ""%s"""
"Invalid Table Rates File Format", "Invalid Table Rates File Format"
"An error occurred while import table rates.", "An error occurred while import table rates."
"%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s", "%1$d records have been imported. See the following list of errors for each record that has not been imported: %2$s"
"Invalid Table Rates format in the Row #%s", "Invalid Table Rates format in the Row #%s"
"Invalid Country ""%s"" in the Row #%s., "Invalid Country ""%s"" in the Row #%s."
"Invalid Region/State ""%s"" in the Row #%s.", "Invalid Region/State ""%s"" in the Row #%s."
"Invalid weight/price ""%s"" in the Row #%s.", "Invalid weight/price ""%s"" in the Row #%s."
"Invalid price/percentage ""%s"" in the Row #%s.", "Invalid price/percentage ""%s"" in the Row #%s."
"Invalid service ""%s"" in the Row #%s.", "Invalid service ""%s"" in the Row #%s."
"Invalid COD Surcharge ""%s"" in the Row #%s.", "Invalid COD Surcharge ""%s"" in the Row #%s."
"Invalid value Price vs Dest value ""%s"" in the Row #%s. The value should be 0 (Weight vs Dest) or 1 (Price vs Dest).", "Invalid value Price vs Dest value ""%s"" in the Row #%s. The value should be 0 (Weight vs Dest) or 1 (Price vs Dest)."
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"", Weight/Price ""%s"", Method ""%s"", Price vs Dest ""%s"").", "Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"", Weight/Price ""%s"", Method ""%s"", Price vs Dest ""%s"")."
"Once the manifest is closed, you will not be able to make further changes to the shipping address. Do you want to continue?", "Once the manifest is closed, you will not be able to make further changes to the shipping address. Do you want to continue?"
"Print Manifest", "Print Manifest"
"Close Manifest", "Close Manifest"
"-- Please select an option --", "-- Please select an option --"
"Other (enter web service URLs manually)", "Other (enter web service URLs manually)"
"Carrier", "Carrier"
"Title", "Title"
"Number", "Number"
"Label", "Label"
"Action", "Action"
"Delete", "Delete"
"Taking this action will cancel the shipment with DPD. Are you sure you want to continue?", "Taking this action will cancel the shipment with DPD. Are you sure you want to continue?"
"Are you sure?", "Are you sure?"
"The country you have selected does not have a web service URL for production mode. Please ensure you have selected the correct country, or select 'Other (enter web service URLs manually)' to enter a specific URL.", "The country you have selected does not have a web service URL for production mode. Please ensure you have selected the correct country, or select 'Other (enter web service URLs manually)' to enter a specific URL."
"The country you have selected does not have a web service URL for test mode. Please ensure you have selected the correct country, or select 'Other (enter web service URLs manually)' to enter a specific URL.", "The country you have selected does not have a web service URL for test mode. Please ensure you have selected the correct country, or select 'Other (enter web service URLs manually)' to enter a specific URL."
"An error occurred communicating the shipment to DPD at %s:<br /> '%s'", "An error occurred communicating the shipment to DPD at %s:<br /> '%s'"
